73
12	5	30	x	a	10	4	2	3	1	1	0	a
20	1	30	x	a	10	2	2	3	1	0	1	a
41	1	30	x	a	10	2	2	3	1	0	1	a
54	1	30	x	a	10	2	2	3	1	0	1	a
83	2	30	x	a	10	2	2	3	1	1	0	a
83	4	30	x	a	10	2	2	3	1	1	0	a
45	5	60	x	a	20	1	2	3	2	1	0	a
43	7	60	x	a	20	2	2	3	2	1	0	a
65	8	60	x	a	20	2	2	3	2	0	1	a
65	9	60	x	a	20	2	2	3	2	0	1	a
21	14	60	x	a	20	2	2	3	2	0	1	a
48	16	60	x	a	20	2	2	3	2	0	1	a
55	18	60	x	a	20	2	2	3	2	0	1	a
27	2	30	x	d	10	2	2	3	1	1	0	d
60	3	30	x	d	10	2	2	3	1	1	0	d
58	2	30	x	d	10	2	2	3	1	1	0	d
77	3	30	x	d	10	2	2	3	1	1	0	d
37	6	60	x	d	20	2	2	3	2	1	0	d
40	3	60	x	d	20	1	2	3	2	1	0	d
20	8	60	x	d	20	2	2	3	2	0	1	d
19	12	60	x	d	20	4	2	3	2	1	0	d
23	12	60	x	d	20	2	2	3	2	1	0	d
24	13	60	x	d	20	2	2	3	2	1	0	d
29	17	60	x	d	20	2	2	3	2	0	1	d
29	16	60	x	d	20	2	2	3	2	0	1	d
50	16	60	x	d	20	2	2	3	2	0	1	d
64	16	60	x	d	20	2	2	3	2	0	1	d
56	18	60	x	d	20	2	2	3	2	0	1	d
56	19	60	x	d	20	2	2	3	2	0	1	d
19	6	30	x	s	10	4	3	3	1	1	0	s
87	4	30	x	s	10	4	3	3	1	1	0	s
89	3	30	x	s	10	4	3	3	1	1	0	s
90	2	30	x	s	10	4	3	3	1	0	1	s
92	1	30	x	s	10	4	3	2	1	0	1	s
107	1	30	x	s	10	4	3	3	1	1	0	s
105	1	30	x	s	10	4	3	3	1	1	0	s
17	10	60	x	s	20	4	3	3	2	1	0	s
36	14	60	x	s	20	4	3	3	2	0	1	s
11	6	30	x	w	10	4	3	3	1	0	1	w
14	4	30	x	w	10	4	3	3	1	0	1	w
17	6	30	x	w	10	4	3	3	1	1	0	w
22	5	30	x	w	10	4	3	3	1	1	0	w
72	4	30	x	w	10	4	12	3	1	0	1	w
73	4	30	x	w	10	4	12	3	1	0	1	w
106	2	30	x	w	10	4	3	3	1	1	0	w
104	2	30	x	w	10	4	3	3	1	1	0	w
22	15	60	x	w	20	4	3	3	2	1	0	w
58	11	60	x	d	30	2	4	3	2	1	0	d
64	13	60	x	a	30	2	4	3	2	1	0	a
67	14	60	x	a	30	2	3	3	2	0	1	a
68	14	60	x	d	30	2	3	3	2	0	1	d
71	10	60	x	d	30	2	4	3	2	1	0	d
71	11	60	x	s	30	4	3	3	2	0	1	s
73	11	60	x	s	30	4	3	3	2	0	1	s
75	8	60	x	s	30	4	3	3	2	0	1	s
76	11	60	x	s	30	4	2	3	2	0	1	s
78	11	60	x	s	30	4	2	3	2	0	1	s
80	11	70	x	s	30	4	2	3	2	0	1	s
96	14	70	x	a	30	3	3	3	2	0	1	a
91	19	70	x	a	30	3	3	3	2	0	1	a
85	10	70	x	d	30	3	1	3	2	0	1	d
85	11	70	x	d	30	3	1	3	2	0	1	d
85	12	70	x	d	30	3	1	3	2	0	1	d
102	8	70	x	a	30	3	3	3	2	0	1	a
103	9	70	x	a	30	3	3	3	2	0	1	a
70	22	70	x	d	30	2	2	3	2	1	0	d
57	22	70	x	a	30	2	2	3	2	1	0	a
46	22	70	x	a	30	2	2	3	2	1	0	a
50	19	70	x	a	30	2	2	3	2	0	1	a
2	15	70	x	d	30	2	2	3	2	0	1	d
6	13	70	x	d	30	4	3	3	2	1	0	d
10	11	70	x	a	30	4	3	3	2	1	0	a
4	17	70	x	d	30	4	3	3	2	1	0	d
